4e59,b2b5,乙
4e5c,41c6,乜
4e5d,b6e5,九
4e5e,b8f0,乞
4e5f,cce9,也
4e62,d6a6,乢
4e68,41c2,乨
4e71,cdf0,乱
4e73,c6fd,乳
4e74,41c1,乴
4e75,41c3,乵
4e7e,b4a5,乾
4e7f,41c5,乿
4e80,b5b5,亀
4e82,d0ac,亂
4e85,d0ad,亅
4e86,cebb,了
4e88,cdbd,予
4e89,c1e8,争
4e8a,d0af,亊
4e8b,bbf6,事
4e8c,c6f3,二
4e8d,41cf,亍
4e8e,d0b2,于
4e91,b1be,云
4e92,b8df,互
4e94,b8de,五
4e95,b0e6,井
4e96,41ce,亖
4e97,41d0,亗
4e98,cfcb,亘
4e99,cfca,亙
4e9b,bab3,些
4e9c,b0a1,亜
4e9d,41d1,亝
4e9e,d0b3,亞
4e9f,d0b4,亟
4ea0,d0b5,亠
4ea1,cbb4,亡
4ea2,d0b6,亢
4ea4,b8f2,交
4ea5,b0e7,亥
4ea6,cbf2,亦
4ea8,b5fc,亨
4eab,b5fd,享
4eac,b5fe,京
4ead,c4e2,亭
4eae,cebc,亮
4eaf,41d8,亯
4eb0,d0b7,亰
4eb3,d0b8,亳
4eb6,d0b9,亶
4eb9,41db,亹
4eba,bfcd,人
4ebb,71fb,亻
4ec0,bdba,什
4ec1,bfce,仁
4ec2,d0be,仂
4ec3,41e5,仃
4ec4,d0bc,仄
4ec6,d0bd,仆
4ec7,b5d8,仇
4eca,baa3,今
4ecb,b2f0,介
4ecd,d0bb,仍
4ece,d0ba,从
4ecf,caa9,仏
4ed4,bbc6,仔
4ed5,bbc5,仕
4ed6,c2be,他
4ed7,d0bf,仗
4ed8,c9d5,付
4ed9,c0e7,仙
4edb,41e7,仛
4edd,a1b8,仝
4ede,d0c0,仞
4edf,d0c2,仟
4ee1,41e8,仡
4ee3,c2e5,代
4ee4,cee1,令
4ee5,b0ca,以
4ee8,41e9,仨
4eed,d0c1,仭
4eee,b2be,仮
4ef0,b6c4,仰
4ef1,41ea,仱
4ef2,c3e7,仲
4ef3,41eb,仳
4ef6,b7ef,件
4ef7,d0c3,价
4efb,c7a4,任
4efc,43cf,仼
4efd,41ec,份
4efe,41ed,仾
4eff,41ee,仿
4f00,41ef,伀
4f01,b4eb,企
4f02,41f6,伂
4f03,41f0,伃
4f08,41f1,伈
4f09,d0c4,伉
4f0a,b0cb,伊
4f0b,41f2,伋
